1,2475,2500,2525,30
2,3127,3158,3189,35
3,3850,3889,3926,40
4,4657,4706,4754,45
5,5568,5625,5681,50
6,6599,6667,6733,55
7,7776,7857,7938,60
8,9138,9231,9323,65
9,10725,10833,10942,70
10,12597,12727,12859,75
11,14851,15000,15151,80
12,17601,17778,17956,85
13,21034,21250,21469,90
14,25463,25714,25970,95
15,31362,31667,31978,100
